video_id,video_path,source_group,dataset,subset,source_model,role,length,frame_indices,spatial_fit_index,random_source_key,expected_gs,expected_gt,expected_final,cache_key
vatex:-5klnjYyA6o:window8,datasets/vatex_bank/-5klnjYyA6o.mp4,vatex:-5klnjYyA6o,vatex,real,VATEX,fit,8,"[142, 146, 150, 154, 157, 161, 165, 169]",6,aef3e3da1e2589e4491685b934826abb73552e2bedfeac680b026b76997187b5,,,,dbcc03fd2cec3f114a5c4ea3772bca4b4e5372a392c5dd9b74acd8afc702e4b2
vatex:-69fv12bMdk:window8,datasets/vatex_bank/-69fv12bMdk.mp4,vatex:-69fv12bMdk,vatex,real,VATEX,fit,8,"[191, 195, 199, 202, 206, 210, 214, 218]",2,27035ec63b89565fdbb981340173fa0a6cdfb26d37785610d24ab623a3881907,,,,457107e80b5936fd796c98b888a60a0f49b0d5af89beb42ab0cb85e9cc675d80
vatex:-6WaGE52Odw:window8,datasets/vatex_bank/-6WaGE52Odw.mp4,vatex:-6WaGE52Odw,vatex,real,VATEX,fit,8,"[191, 195, 199, 202, 206, 210, 214, 217]",2,9daabfd9f47d5e47f8138d1bbcf35856a784fbe9f6b9949018e0511c9fc7e777,,,,5de6572694e85057c407810ac5e56bead2bc1199ad14e6de25b3c7c3f05bb4e5
vatex:-6wNVod8iag:window8,datasets/vatex_bank/-6wNVod8iag.mp4,vatex:-6wNVod8iag,vatex,real,VATEX,fit,8,"[191, 195, 199, 202, 206, 210, 214, 217]",7,d7955deec392ae9c1ecc16dd4657f61f54c0d9336f4026e34db8d39a0cf2f883,,,,f33346317f57fb1b924b7f441869daabb8375669426703a9b1283426e3593e22
vatex:-Altf8KptXw:window8,datasets/vatex_bank/-Altf8KptXw.mp4,vatex:-Altf8KptXw,vatex,real,VATEX,fit,8,"[187, 191, 195, 198, 202, 206, 210, 213]",4,8b0948afd3c5d47befc4e01719b8a4c3ac1d9d8dc15c1d8b0e33bbbb431678e3,,,,63d5968238a9031068a79d5c5acce3c6646b89c298fff84bba1d612b56e6b1bc
vatex:-BGvHxisFII:window8,datasets/vatex_bank/-BGvHxisFII.mp4,vatex:-BGvHxisFII,vatex,real,VATEX,fit,8,"[191, 195, 199, 202, 206, 210, 214, 218]",3,6c903754a97009555be16666952cc39962ce68c3b675f3c58e44379c7d4eea21,,,,9dc11cee0185e016c949f758aaaffd87840e58b6b5171bc43eca5db91273d69c
vatex:-C38_1dMytQ:window8,datasets/vatex_bank/-C38_1dMytQ.mp4,vatex:-C38_1dMytQ,vatex,real,VATEX,fit,8,"[142, 146, 150, 154, 158, 161, 165, 169]",7,573a3da115809796362a96b0e23614c326bbe469f1bbc3662ed99638b72eb596,,,,de2499e8e3b3bbb2ea30e17ecc356eb15c3015b16719a938dce7a4f9c20a506d
vatex:-CIywiz8I1s:window8,datasets/vatex_bank/-CIywiz8I1s.mp4,vatex:-CIywiz8I1s,vatex,real,VATEX,fit,8,"[76, 78, 80, 81, 82, 84, 86, 87]",7,2f0ba38fe87a0d1e16339ad49fdb3812b27ba216575887e76a7250202deb77f9,,,,70f19511938d36795a97f3ef69e2605a7596c41cb167a4765cb356fed2941cb5
vatex:-CKxhozrTpo:window8,datasets/vatex_bank/-CKxhozrTpo.mp4,vatex:-CKxhozrTpo,vatex,real,VATEX,fit,8,"[191, 195, 199, 202, 206, 210, 214, 218]",2,6bf6f38ce1fbb3a8487904bd285a79f5e04df3f284bd4c2e974276589690925b,,,,31768298feecc54b6e2369fead86d1938960d0cad01fcdc5fec68dcb50dcb1f2
vatex:-CiPki3XuVI:window8,datasets/vatex_bank/-CiPki3XuVI.mp4,vatex:-CiPki3XuVI,vatex,real,VATEX,fit,8,"[191, 195, 199, 202, 206, 210, 214, 218]",5,0bc514a804beeb400b3bf257cf267ea39c4a83a9678b8637533fc077dce5d541,,,,ab70b3f75b53562667368ab3c8989c54bd5b763a224735caa256f106100f4a9d
vatex:-EHqT6ZDcb4:window8,datasets/vatex_bank/-EHqT6ZDcb4.mp4,vatex:-EHqT6ZDcb4,vatex,real,VATEX,fit,8,"[191, 195, 199, 202, 206, 210, 214, 218]",4,decd0657574acd7905aea6514d9e626e8238f258b6273deb02362fbf332c86db,,,,eb970006a64c2534f2ee61f1f691eb716772a950eabfc0df6a60db374c06f680
vatex:-F9Ab6ACKKs:window8,datasets/vatex_bank/-F9Ab6ACKKs.mp4,vatex:-F9Ab6ACKKs,vatex,real,VATEX,fit,8,"[191, 195, 199, 202, 206, 210, 214, 218]",1,a3c11b043f2d79bb3a7ec03889e93c9cccde3f6193a35f54034add8df8d160a9,,,,496402ec952569edb96095641a2796b391cb20fa48113daa3fe6ead826347fef
vatex:-FRUt86KUZo:window8,datasets/vatex_bank/-FRUt86KUZo.mp4,vatex:-FRUt86KUZo,vatex,real,VATEX,fit,8,"[153, 156, 159, 162, 165, 168, 171, 174]",7,dc58dcf6f098eba8d3dcecab44942a53555de20640ea264ecabebf44e0da0f0f,,,,cd0ca681b24ba8140da887eaf5181c22df1519bade43dbc4c141d33f5f92c038
vatex:-G14dELklmQ:window8,datasets/vatex_bank/-G14dELklmQ.mp4,vatex:-G14dELklmQ,vatex,real,VATEX,fit,8,"[191, 195, 199, 202, 206, 210, 214, 218]",3,ed944dcc787e85f6827d4792e492fffc913438d6eb6499c9920ab5e5d5cb18a6,,,,e0c71ed8815f43cc1259d8b2e04266288f753d581bdeee0028ea48f4abccafd2
vatex:-H5gmt9X9fU:window8,datasets/vatex_bank/-H5gmt9X9fU.mp4,vatex:-H5gmt9X9fU,vatex,real,VATEX,fit,8,"[96, 98, 99, 101, 103, 105, 107, 109]",5,3a8dd73cf905d364f0fca3ac35a958981809b42fd258788fa9fc8ee3e4f781c9,,,,d89c7ddc42c87847a817ab25dc999186258e9a2b35431375149af4a1c23b6012
vatex:-KBf8XXQVXM:window8,datasets/vatex_bank/-KBf8XXQVXM.mp4,vatex:-KBf8XXQVXM,vatex,real,VATEX,fit,8,"[191, 195, 199, 202, 206, 210, 214, 218]",5,9dce6943f7c2cb7ba69d62bcc1efc1d88d7990d32d9d989aff02d0840924d3b7,,,,9f6e97a64175a86c3d255da482d4ff18dc213ddce9f43e1665eb1dfdcdeaec71
vatex:-MjF5pbaHOE:window8,datasets/vatex_bank/-MjF5pbaHOE.mp4,vatex:-MjF5pbaHOE,vatex,real,VATEX,fit,8,"[191, 195, 199, 202, 206, 210, 214, 218]",1,142c77dd94600c72c6538285b2ac7752b748a4ff21265a723100c72f1d840fc8,,,,29ec6c79c6a7177d219da9b2e6f7c57379b8821c3f242d31738fd3f2511aa38e
vatex:-O6Zp6ByoEA:window8,datasets/vatex_bank/-O6Zp6ByoEA.mp4,vatex:-O6Zp6ByoEA,vatex,real,VATEX,fit,8,"[191, 195, 199, 202, 206, 210, 214, 218]",7,c29c07df539044247188f3dbba66b7909cff6a6c553bf877685b64f503f1c670,,,,b2babaab38e62a020de4db17fe7023ba13c4f6720d7f1b36490d4d58e5a98f7f
vatex:-P6oVaW_u9E:window8,datasets/vatex_bank/-P6oVaW_u9E.mp4,vatex:-P6oVaW_u9E,vatex,real,VATEX,fit,8,"[191, 195, 199, 202, 206, 210, 214, 217]",3,85bf66cd9741e29fb14a40d6f727791ce901c67680bd9007e08be6febd6e837c,,,,5f95ceec2dfa8bfb34550013e87b325cec62d9971196673e6df5bf5589d69542
vatex:-PW6kckornM:window8,datasets/vatex_bank/-PW6kckornM.mp4,vatex:-PW6kckornM,vatex,real,VATEX,fit,8,"[153, 156, 159, 162, 165, 168, 171, 174]",4,018e18b86a51c59dcea97dffce97a276f957a934604d1d50a23388c2af4ec1cf,,,,d4fb7016b21ac2d02c6eac4a7db756e7df7ba9199b21365dc5949aa419a68631
vatex:-RyVvPFRAm4:window8,datasets/vatex_bank/-RyVvPFRAm4.mp4,vatex:-RyVvPFRAm4,vatex,real,VATEX,fit,8,"[191, 195, 199, 202, 206, 210, 214, 217]",0,8cc1955c418fcf4bd57c6ca79ee27811d83eb522e7292ef0319373d1e39526f0,,,,80729bcc525ec4841b0a4654c42f06aa2ea340583d2e0d5b73f4a4fe5cf8405e
vatex:-TgTYo9Ck68:window8,datasets/vatex_bank/-TgTYo9Ck68.mp4,vatex:-TgTYo9Ck68,vatex,real,VATEX,fit,8,"[95, 97, 99, 101, 103, 104, 106, 108]",3,ddb5cee6e6dbdbb72b0f7838fc5fda7a094490d3a9957ed41facbee2a71a0632,,,,41d437db2a73709046938990a2c3d8873bb15bf466e696e6b46415ab6a7a8eea
vatex:-UAJ8gH60Tw:window8,datasets/vatex_bank/-UAJ8gH60Tw.mp4,vatex:-UAJ8gH60Tw,vatex,real,VATEX,fit,8,"[103, 105, 107, 109, 111, 113, 115, 117]",1,d2135835aca2e8bf5065c325fb3f798286167f4d46c2dd3c5368835c3b9c19e3,,,,98af841494b8d68ce52240f7639a10ff3a36da9c454e39f8cd7d9d896d1cdf12
vatex:-VArnLOtGk0:window8,datasets/vatex_bank/-VArnLOtGk0.mp4,vatex:-VArnLOtGk0,vatex,real,VATEX,fit,8,"[159, 162, 166, 169, 172, 175, 178, 181]",5,716845d79b29cb7406450987832d3caee13e0999188f7c17b903522b04703e87,,,,90ba785c8c91c45a42e341651aba30aac77e4d002745a711801e1184543f7132
vatex:-VeGjwoVIsA:window8,datasets/vatex_bank/-VeGjwoVIsA.mp4,vatex:-VeGjwoVIsA,vatex,real,VATEX,fit,8,"[191, 195, 199, 202, 206, 210, 214, 218]",4,0d1089d5c0b7c9aae4d4f58c02e1eb2ceedcab86c033c4c735b6eb38e30c6f9a,,,,481392e8b1ea048f6eeb8ae71c4f2472f25d83a4eff2da3dfd654e42587997be
vatex:-W04ILeepgw:window8,datasets/vatex_bank/-W04ILeepgw.mp4,vatex:-W04ILeepgw,vatex,real,VATEX,fit,8,"[191, 195, 199, 202, 206, 210, 214, 218]",3,3346c000516079acbaf63ebb3fc5d27152ff26e86f3ec73bdd01f023c7666c2b,,,,9cc753dccfc9a46248993c7b5e810ec7e83d0e9c97e86587b09c805cc61c0fbd
vatex:-_PmaC35JlI:window8,datasets/vatex_bank/-_PmaC35JlI.mp4,vatex:-_PmaC35JlI,vatex,real,VATEX,fit,8,"[160, 163, 166, 169, 172, 176, 179, 182]",0,f954cc717ea47a5d94492179187821c7e067aaf504fe0a366eb608bec2f093d6,,,,f4340aa57d874b20b7fedae2425d3125a411ef67e0cf5ee1718f9d88c25c7c72
vatex:-aJHPlJTesM:window8,datasets/vatex_bank/-aJHPlJTesM.mp4,vatex:-aJHPlJTesM,vatex,real,VATEX,fit,8,"[191, 195, 199, 202, 206, 210, 214, 217]",0,5c4a0aea9db2225c913ea19080c42507e0ff28806bc7ceab85db1a67bb3bf853,,,,180168151baaf0a3fe511a332e3e845fb1138f5456bec58012c2a35e9d2ea00d
vatex:-cHi_8_2G34:window8,datasets/vatex_bank/-cHi_8_2G34.mp4,vatex:-cHi_8_2G34,vatex,real,VATEX,fit,8,"[61, 62, 63, 65, 66, 67, 68, 69]",2,cc1093aa25b451fea3ec73b07adb82421cd438ec04e17624c629814df850ad7e,,,,428163e6a1b9a312822625930fc4b55d31bd8abd9f27d61ce29224b43ed42796
vatex:-ca2coODeew:window8,datasets/vatex_bank/-ca2coODeew.mp4,vatex:-ca2coODeew,vatex,real,VATEX,fit,8,"[132, 135, 139, 142, 145, 149, 152, 156]",2,78a379b29ba09c068a6fbf38dc007a0b5998def85fa3989c2760bd73465d9a19,,,,04bef85f0ed23e3ef55d5f4873e02758bfabdd9dbca6a79f6cbba85a2021cac4
vatex:-ciUI_Eo5rI:window8,datasets/vatex_bank/-ciUI_Eo5rI.mp4,vatex:-ciUI_Eo5rI,vatex,real,VATEX,fit,8,"[159, 162, 166, 169, 172, 175, 178, 181]",6,bd69312600d6664209de253e0182039428d4294b34cc828aa1b66f1479898813,,,,094c3a9207613510d32002b69474437df16f51e570d559eb75565c0a354c0b5c
vatex:-d7lSkOl0ZU:window8,datasets/vatex_bank/-d7lSkOl0ZU.mp4,vatex:-d7lSkOl0ZU,vatex,real,VATEX,fit,8,"[191, 195, 199, 202, 206, 210, 214, 218]",1,f9a665517a53084673b85ac6f4cb67dffeddda7f3599b0a0224187d6b5a98bf3,,,,37c5ce34c268af524ea0d6acc2cdc9a13e7693face5a50868c79df43c66f2c30
vatex:-dUHgTsZ41k:window8,datasets/vatex_bank/-dUHgTsZ41k.mp4,vatex:-dUHgTsZ41k,vatex,real,VATEX,fit,8,"[191, 195, 199, 202, 206, 210, 214, 218]",7,ee0590710e44ab1a98cc9ce4c349f5b0d777cda8609aa505fd549dae75731930,,,,75b570e8d994b9724c5029b887cd6aeed5deaac7ea220ddfeb44962df13af121
vatex:-dsKGUbyjLw:window8,datasets/vatex_bank/-dsKGUbyjLw.mp4,vatex:-dsKGUbyjLw,vatex,real,VATEX,fit,8,"[191, 195, 199, 202, 206, 210, 214, 217]",3,573329e6f8733a5a4449436672fbc8cc7da0cf77e22bea520dc1d97f4f74070b,,,,88f2fdb950cb66484297b4abc716213aec8a6c408afaba23131eda25d60381d0
vatex:-g5F8H0zIlI:window8,datasets/vatex_bank/-g5F8H0zIlI.mp4,vatex:-g5F8H0zIlI,vatex,real,VATEX,fit,8,"[191, 195, 199, 202, 206, 210, 214, 218]",3,029a4bcb203f505d711dee86af820e829bd4328f84242001d96f2387357626fc,,,,8448610a88cf197795cffd9fff61c633cba298cb879e4178ab9f75d3cb0ec69c
vatex:-iCilId_vAs:window8,datasets/vatex_bank/-iCilId_vAs.mp4,vatex:-iCilId_vAs,vatex,real,VATEX,fit,8,"[159, 162, 166, 169, 172, 175, 178, 181]",7,d46406b1dbfef64cab6974bdc9fcba4718b8e5d6b7d42f8d49fd414555694731,,,,a5837286d3c9110bc3074c3bd9ca5eb6cf26988a98b1ad0d7b7a82a92c4eadf2
vatex:-ia35e2Ciak:window8,datasets/vatex_bank/-ia35e2Ciak.mp4,vatex:-ia35e2Ciak,vatex,real,VATEX,fit,8,"[159, 162, 166, 169, 172, 175, 178, 181]",6,0b0f7938e7b0575309764940bdff63e45dd2cf5b4af65e13eb731d7e0def6954,,,,0a8aa5cc6c8bf1b65b895dd13b15704d57b49eed5e80959be18ed1fd5a80aae3
vatex:-jTsiLl3m3w:window8,datasets/vatex_bank/-jTsiLl3m3w.mp4,vatex:-jTsiLl3m3w,vatex,real,VATEX,fit,8,"[191, 195, 199, 202, 206, 210, 214, 217]",5,6d767682cb8c841a9c8a8a852de204a47f0a8f64f1b27f3d42b6d309e06f2c5f,,,,e9ac46a555ef6c973c3d1828f7663790223f73d52ba077b95f587caed9154b1d
vatex:-k25wqPbiC8:window8,datasets/vatex_bank/-k25wqPbiC8.mp4,vatex:-k25wqPbiC8,vatex,real,VATEX,fit,8,"[191, 195, 199, 202, 206, 210, 214, 218]",5,1c860f5d1925c14e150af92d0a67106d0330cd578230c7ef58d7a4920e89ad5f,,,,68ab3b606161fbffd11568c129c10f3bd3d8955f6b1a50d46a3ec9cb51deae50
vatex:-kGols4Pdps:window8,datasets/vatex_bank/-kGols4Pdps.mp4,vatex:-kGols4Pdps,vatex,real,VATEX,fit,8,"[96, 98, 99, 101, 103, 105, 107, 109]",6,0de20b21d485b9b47f84dcce9714cea021f2e3d2de4365f25bf6a4234fe46818,,,,d08560e2234986a81bd52a6c784e0abea38c30468d91b2d6615a6ee86767a207
vatex:-neqpygEoXs:window8,datasets/vatex_bank/-neqpygEoXs.mp4,vatex:-neqpygEoXs,vatex,real,VATEX,fit,8,"[191, 195, 199, 202, 206, 210, 214, 218]",5,51ec3ccab5ea8dc88f6f146e83a0138f4e063d1675fd51afc6f7e75944d092ce,,,,17703b6558fcf59809a10f0f07f1695d731efca2549b33c2893b4f56ef396429
vatex:-qVya_4YzBI:window8,datasets/vatex_bank/-qVya_4YzBI.mp4,vatex:-qVya_4YzBI,vatex,real,VATEX,fit,8,"[191, 195, 199, 202, 206, 210, 214, 217]",2,e0dd3dd912ee6312090ed7e3738bf5eb28c7250c8fb2ef3465d1b388a0a9d1d2,,,,a841f78dee25a26b7767761e88f7e63afa2faddac0139ff9f9815e3754b7b32d
vatex:-sOEbLIb0jw:window8,datasets/vatex_bank/-sOEbLIb0jw.mp4,vatex:-sOEbLIb0jw,vatex,real,VATEX,fit,8,"[190, 194, 197, 201, 205, 209, 212, 216]",3,7dd44a0e2ca937d58dfd746a2c5e4e2953d7bbac9eca0e09f8bf9207cda64bce,,,,192b2c112b46ce594c99ea05e913357b5754952998b97795dc659f1c542d839c
vatex:-t5Gz8E1Jeg:window8,datasets/vatex_bank/-t5Gz8E1Jeg.mp4,vatex:-t5Gz8E1Jeg,vatex,real,VATEX,fit,8,"[119, 122, 125, 128, 131, 134, 138, 141]",6,e21c819f34aba781e4ffad219de10ed5421ab1a554207b6a4e99280df5e11cea,,,,47c90c1002daa95ea6607bf415f86d8ed1430fd8c82d68f77b7471684af4a0ca
vatex:-v0mlwp_CRY:window8,datasets/vatex_bank/-v0mlwp_CRY.mp4,vatex:-v0mlwp_CRY,vatex,real,VATEX,fit,8,"[191, 195, 199, 202, 206, 210, 214, 217]",3,a1dcb06b5b0c2cb5454ec892e21bda3f9f639f0a2e510296dc0c7d210a65677c,,,,8e184b5d474dd73247bd9c974652377063efeec91da117b0060db9818b14d14a
vatex:0-nJsXboHws:window8,datasets/vatex_bank/0-nJsXboHws.mp4,vatex:0-nJsXboHws,vatex,real,VATEX,fit,8,"[191, 195, 199, 202, 206, 210, 214, 217]",7,519dcf93352494eeb1e698acf9e6045c523ccd46acd42bf13b39d3b10c74230f,,,,7789f272eee8f83dc7acde2ce6c4286a8c354c7c5cd2c58a1f0ee95d1fc17ec4
vatex:02HAfW8otDE:window8,datasets/vatex_bank/02HAfW8otDE.mp4,vatex:02HAfW8otDE,vatex,real,VATEX,fit,8,"[191, 195, 199, 202, 206, 210, 214, 218]",0,7c45857e40732edf1884e7e4c7d3d2dd13ba021a8a13acf51ebe28932f21ddf9,,,,4c0c6689a99e4cd8196c625941c325787afaf4ccdcd96de5c76873d22aefe066
vatex:05FnxqVf05w:window8,datasets/vatex_bank/05FnxqVf05w.mp4,vatex:05FnxqVf05w,vatex,real,VATEX,fit,8,"[159, 162, 166, 169, 172, 175, 178, 181]",2,28278c8b7aa2098055303daf25e87beeace10e2bc6fef2f20cbe492c1b0361a2,,,,c22ad81f99c36d3d21ef32f8af4d1c47d672a80b1feec886a9331fd747021795
vatex:05ljTAaWnVc:window8,datasets/vatex_bank/05ljTAaWnVc.mp4,vatex:05ljTAaWnVc,vatex,real,VATEX,fit,8,"[159, 162, 166, 169, 172, 175, 178, 181]",4,bf6da55f28fa508a9f77c48923b70efa7357cd89384a8bd876697b19b0766266,,,,2883d969456076e6535149bffe474c4f1e12736bd112f8c35e2f0b3c8e7bbefd
vatex:06zuUMKaa88:window8,datasets/vatex_bank/06zuUMKaa88.mp4,vatex:06zuUMKaa88,vatex,real,VATEX,fit,8,"[53, 54, 55, 56, 57, 58, 59, 60]",2,e0400476d01266441a7465f4c6f9970611ae88ee19d9b22201e28f1236c85843,,,,d05dcfb1761a25cb962b23b693d50aea52b5097dd669a463a67cb9d4ec982aa7
vatex:07X8cLGB7dc:window8,datasets/vatex_bank/07X8cLGB7dc.mp4,vatex:07X8cLGB7dc,vatex,real,VATEX,fit,8,"[191, 195, 199, 202, 206, 210, 214, 218]",6,bb69b5ba93833e1e2964a45b16ab85c53c292945c4df32c6a5a36e5688e662d5,,,,edf798b991a10b3ec2ddd1ff9e2b343198518550814cebfceeaaebfcc699cf04
vatex:08RDuiaN5Wc:window8,datasets/vatex_bank/08RDuiaN5Wc.mp4,vatex:08RDuiaN5Wc,vatex,real,VATEX,fit,8,"[191, 195, 199, 202, 206, 210, 214, 217]",4,614173998ddf692ddc264b45ef43e3c0b51ee4e43c71b9612384987a90ecf830,,,,e08c02f09b63a86c1b570f6f38c6db4f3b98c4e14d269654f9e54c5909d0fae0
vatex:0AczVdcPqho:window8,datasets/vatex_bank/0AczVdcPqho.mp4,vatex:0AczVdcPqho,vatex,real,VATEX,fit,8,"[96, 98, 99, 101, 103, 105, 107, 109]",0,a997dcd87bd1b7031638e230f04ef5d83bd9908a8d3bdb61bdf521562162341c,,,,10fa1307a62f8a7a908c8237687a695abd69dedf92d3e665932d3c65bc503d8e
vatex:0CViJao5YLY:window8,datasets/vatex_bank/0CViJao5YLY.mp4,vatex:0CViJao5YLY,vatex,real,VATEX,fit,8,"[159, 162, 166, 169, 172, 175, 178, 181]",6,64509e4c1b6d6c0f5ebe6f9e5ac61e2ea50c365345fcc11cc5556aa0976a87d2,,,,67350f7e22bfc5a79cb4500650754360b34aa403d6becffadc9dac75cd3be9ef
vatex:0FU-F6iylZs:window8,datasets/vatex_bank/0FU-F6iylZs.mp4,vatex:0FU-F6iylZs,vatex,real,VATEX,fit,8,"[153, 156, 159, 162, 165, 168, 171, 174]",1,90d219d7715d08cb4da1b62d15dc29d63380567554c92a86541e92b88ced33ca,,,,09f7fb8f06b700a0f9f37c375e9a116af1c36c1cb0fab039000195aff996b722
vatex:0KhgYROrH8c:window8,datasets/vatex_bank/0KhgYROrH8c.mp4,vatex:0KhgYROrH8c,vatex,real,VATEX,fit,8,"[95, 98, 100, 102, 105, 108, 110, 112]",3,320f17f9b49dc2f8f5cbbba04b370e1374937ab62e39b41e8ac729b4024d2380,,,,884611447aabad9e8ea72717d4e76a69c92e548f6c26c9173a1df3a9ee8b5f2f
vatex:0LD-BeXuwJ8:window8,datasets/vatex_bank/0LD-BeXuwJ8.mp4,vatex:0LD-BeXuwJ8,vatex,real,VATEX,fit,8,"[191, 195, 199, 202, 206, 210, 214, 217]",0,840302848895a6fef5379581963d722109c1f9a358b726c237e365fe09123b0f,,,,620f1c341613bcc5f2f91d6f26258f129faa8219eaa65ac74fdb9135afdec250
vatex:0LqZiBZdhEs:window8,datasets/vatex_bank/0LqZiBZdhEs.mp4,vatex:0LqZiBZdhEs,vatex,real,VATEX,fit,8,"[159, 162, 166, 169, 172, 175, 178, 181]",3,72b7e29908e15ccedd0f4c774f2c55df9afd6b5dd30e232a69d2e1734d8c9397,,,,53326c8148656da6cc667efcd455264c0160a5bc91241ffced8191b660ef1922
vatex:0LqfsamL864:window8,datasets/vatex_bank/0LqfsamL864.mp4,vatex:0LqfsamL864,vatex,real,VATEX,fit,8,"[159, 162, 166, 169, 172, 175, 178, 181]",5,dc900393c217985d74020198c399895756a06fdbb531fd8cb57a5809485f82fa,,,,806387596cb02835c853bb1ad09edf8ae4d16351c6f41944fadd9ffd76293921
vatex:0Pv1zA8r9DE:window8,datasets/vatex_bank/0Pv1zA8r9DE.mp4,vatex:0Pv1zA8r9DE,vatex,real,VATEX,fit,8,"[191, 195, 199, 202, 206, 210, 214, 217]",1,9a386c843447013faae1d38742bee1b6cf1177dfd6c666fda5ac1783d1eaf1e0,,,,ddd8c71b4b66923e18637291df1e9a25fcbfea8bc1c1dfe9065758df202b1ff6
vatex:0SayN7fM7aE:window8,datasets/vatex_bank/0SayN7fM7aE.mp4,vatex:0SayN7fM7aE,vatex,real,VATEX,fit,8,"[96, 98, 99, 101, 103, 105, 107, 109]",1,7d4df86a240794bfbdd8300a2cbb7d79b3a64b8f67c73edcda81bddc5be2234b,,,,79f493288ae47a6b0bb021b7bfb13985b5d6cab4b57784a94b159841345cd454
