experiment_id,protocol_id,parent_experiment_id,experiment_name,git_commit,datasets,evaluation_videos,calibration_real_per_dataset,evaluation_overlap,uses_fake_for_selection,region,aggregation,layer,K,alpha,beta,score_direction,macro_auc,macro_ap,status,paper_status,result_path,report_path,reason
u0_joint_typicality_j3,strict20_fixed_intersection_v1,historical_dataset_specific_k3,Joint Typicality J3,266c38cfe292747d62b8cf28f68320d287f542ca,"ComGenVid;VideoFeedback;GenVideo",21421,200,0,false,"3/1/2","bottom20/mean/mean",23,3,NA,0.1,higher_is_real,0.8620,0.8602,rejected,supplement_failed_ablation,results/multi_window_joint_typicality/joint_dataset_metrics.csv,reports/multi_window_joint_typicality.md,Best joint model remained below fixed linear fusion
u0_spatial_mean_residual_r1,strict20_fixed_intersection_v1,historical_dataset_specific_k3,Spatial-mean residual R1,2e88a7757b6dcc9b51859e7ac09430dccb909eda,"ComGenVid;VideoFeedback;GenVideo",21421,200,0,false,"3/1/2","bottom20/mean/mean",23,3,0.6,0.1,higher_is_real,0.8626,0.8609,rejected,supplement_failed_ablation,results/local_residual/dataset_metrics.csv,reports/local_residual_multiscale_final.md,Macro AP delta -0.0088 and 4/20 non-decline
u0_unified_region_ms1,strict20_fixed_intersection_v1,historical_dataset_specific_k3,Unified region MS1,794f7e087398f436abea2cea38820d8708022c7c,"ComGenVid;VideoFeedback;GenVideo",21421,200,0,false,1,"dataset aggregation retained",23,3,0.6,0.1,higher_is_real,0.868708,0.869543,rejected,supplement_failed_ablation,results/unified_multiscale_layers/multiscale_dataset_metrics.csv,reports/unified_multiscale_intermediate_layers.md,Not equivalent to U0 because ComGenVid retained bottom20
u0_intermediate_layer_h4,strict20_fixed_intersection_v1,historical_dataset_specific_k3,Intermediate layer H4,794f7e087398f436abea2cea38820d8708022c7c,"ComGenVid;VideoFeedback;GenVideo",21421,200,0,false,"3/1/2","bottom20/mean/mean","17+23",3,0.6,0.1,higher_is_real,0.872139,0.869836,rejected,supplement_failed_ablation,results/unified_multiscale_layers/layer_dataset_metrics.csv,reports/unified_multiscale_intermediate_layers.md,AP CI crossed zero and only 9/20 non-decline
u0_cross_layer_min_c1,strict20_fixed_intersection_v1,alpha_stalled_u0_locked,Clean cross-layer min C1,worktree_on_794f7e087398f436abea2cea38820d8708022c7c,"ComGenVid;VideoFeedback;GenVideo",21421,200,0,false,1,mean,"min(17;23)",3,0.6,0.1,higher_is_real,0.870685,0.869530,rejected,supplement_failed_ablation,results/clean_universal/cross_layer_dataset_metrics.csv,reports/clean_universal_cross_layer_final.md,Macro AP delta -0.00271 and negative CI
u0_motion_gate_c2,strict20_fixed_intersection_v1,alpha_stalled_u0_locked,Clean motion gate C2,worktree_on_794f7e087398f436abea2cea38820d8708022c7c,"ComGenVid;VideoFeedback;GenVideo",21421,200,0,false,1,mean,"17/23 real-motion gate",3,0.6,0.1,higher_is_real,0.869458,0.869238,rejected,supplement_failed_ablation,results/clean_universal/cross_layer_dataset_metrics.csv,reports/clean_universal_cross_layer_final.md,Macro AP delta -0.00301 and negative CI
global_d3_inspired_raw_g1,strict20_fixed_intersection_v1,original_stall_strict20_k1,Global D3-inspired raw G1,40cc04679482e1eda214947ed8833c0c7859993b,"ComGenVid;VideoFeedback;GenVideo",21421,200,0,true,NA,mean,23,1,NA,NA,higher_is_real,0.813243,0.832385,rejected,supplement_failed_ablation,results/multi_order_baselines/global_d3_dataset_metrics.csv,reports/global_local_d3_audit.md,Operator-controlled D3-inspired diagnostic with severe VideoFeedback transfer loss
u0_oas_local_d2,strict20_fixed_intersection_v1,alpha_stalled_u0_locked,OAS Local D2 covariance,worktree_on_794f7e087398f436abea2cea38820d8708022c7c,"ComGenVid;VideoFeedback;GenVideo",21421,200,0,false,1,mean,23,3,0.6,0.1,higher_is_real,0.874123,0.872342,rejected,supplement_failed_ablation,results/u0_oas_candidate/dataset_metrics.csv,reports/u0_oas_covariance_candidate.md,AP delta +0.000043; CI crosses zero and seed variance slightly increases
duration_aware_23source_main,duration_aware_23source_v1,alpha_stalled_u0_locked,Duration-aware full-23 Alpha,worktree_on_794f7e087398f436abea2cea38820d8708022c7c,"ComGenVid;VideoFeedback;GenVideo",57647,"600/400/1500",0,false,1,mean,23,"K3-2s/K1-1s",0.6,0.1,higher_is_real,0.8720580742333143,0.8740938459956284,coverage_extension,coverage_extension,results/duration_aware_23source/dataset_metrics.csv,reports/duration_aware_23source_full.md,Restores all 23 generators with frozen duration-aware sampling and real-only calibration-size selection; does not replace strict-20
u0_external_genvidbench,u0_external_genvidbench_v1,alpha_stalled_u0_locked,Locked external GenVidBench,worktree_on_794f7e087398f436abea2cea38820d8708022c7c,GenVidBench,900,199,0,false,1,mean,23,3,0.6,0.1,higher_is_real,0.8409694444444444,0.8495404170825257,external_confirmation,confirmation_external,results/u0_external_genvidbench/analysis/dataset_metrics.csv,reports/u0_locked_external_validation.md,No external fake selected any method parameter; U0 minus STALL AP CI is fully positive
u0_robustness_r0,u0_robustness_v1,alpha_stalled_u0_locked,Locked robustness R0,worktree_on_794f7e087398f436abea2cea38820d8708022c7c,"ComGenVid;VideoFeedback;GenVideo",1600,200,0,false,1,mean,23,3,0.6,0.1,higher_is_real,0.885917,0.880750,diagnostic_only,confirmation_robustness_subset,results/u0_robustness/analysis/dataset_metrics.csv,reports/u0_robustness.md,Generator-balanced subset locked before perturbation scoring; R0 raw reproduction error is zero
u0_robustness_repeat25,u0_robustness_v1,u0_robustness_r0,Locked robustness repeat25,worktree_on_794f7e087398f436abea2cea38820d8708022c7c,"ComGenVid;VideoFeedback;GenVideo",1600,200,0,false,1,mean,23,3,0.6,0.1,higher_is_real,0.860118,0.858150,diagnostic_only,supplement_deployment_limit,results/u0_robustness/analysis/dataset_metrics.csv,reports/u0_robustness.md,Scenario-A AP delta -0.0226; matched CDF does not recover the severe shift
