dataset,subset,source_model,filename,L0,L1,L2,L3,Ls,P0
comgenvid,annotated,Sora,7adi1_961703618%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,7negiashish_371783258%2Fmd.mp4,0.0,0.0,0.004999999888241291,0.0,0.014999999664723873,0.0014999999664723875
comgenvid,annotated,Sora,8---d7652_28389355%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,951963_106836580%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,95trevorthompson_watermarked.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,_dri__121308411%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,_horse_619318200%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,_kx_283277740%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,aaabnnon_466467197%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,aadeseveruz_88242328%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,aaroneboyce_443104867%2Fmd.mp4,0.0,0.0,0.0,0.0,0.009999999776482582,0.0009999999776482583
comgenvid,annotated,Sora,aarya121212_594284790%2Fmd.mp4,0.0,0.0,0.054999999701976776,0.0,0.0,0.0
comgenvid,annotated,Sora,abanuni_29343697%2Fmd.mp4,0.0,0.0,0.0,0.0,0.004999999888241291,0.0004999999888241291
comgenvid,annotated,Sora,abbasi303_277787488%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,abbasshahwan_871443816%2Fmd.mp4,0.0,0.0,0.03500000014901161,0.0,0.15000000596046448,0.015000000596046448
comgenvid,annotated,Sora,abcd-x_714432516%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0949999988079071,0.009499999880790711
comgenvid,annotated,Sora,abcdefghijfdsfsdfsf_302058589%2Fmd.mp4,0.0,0.0,0.0,0.0,0.004999999888241291,0.0004999999888241291
comgenvid,annotated,Sora,abcolp_973369478%2Fmd.mp4,0.0,0.0,0.0,0.0,0.009999999776482582,0.0009999999776482583
comgenvid,annotated,Sora,abddu_393690614%2Fmd.mp4,0.0,0.0,0.0,0.0,0.004999999888241291,0.0004999999888241291
comgenvid,annotated,Sora,abdujaliliy_109159782%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,abdulrahmaruss_974098107%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,abdurrahmaneymenolu_706897355%2Fmd.mp4,0.0,0.0,0.004999999888241291,0.0,0.0,0.0
comgenvid,annotated,Sora,abhilashdwarakish_136979546%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,abo1221_434152204%2Fmd.mp4,0.004999999888241291,0.0,0.07999999821186066,0.004999999888241291,0.014999999664723873,0.00599999986588955
comgenvid,annotated,Sora,abrahamgs_591406678%2Fmd.mp4,0.004999999888241291,0.0,0.0,0.004999999888241291,0.004999999888241291,0.004999999888241292
comgenvid,annotated,Sora,acasssss_358588184%2Fmd.mp4,0.004999999888241291,0.0,0.04500000178813934,0.004999999888241291,0.004999999888241291,0.004999999888241292
comgenvid,annotated,Sora,accalmie_531835679%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,acfofangel_890043053%2Fmd.mp4,0.004999999888241291,0.0,0.08500000089406967,0.004999999888241291,0.009999999776482582,0.0054999998770654205
comgenvid,annotated,Sora,achigala_611943440%2Fmd.mp4,0.0,0.0,0.0,0.0,0.004999999888241291,0.0004999999888241291
comgenvid,annotated,Sora,adabaharat_376490481%2Fmd.mp4,0.09000000357627869,0.0,0.08500000089406967,0.08500000089406967,0.014999999664723873,0.08250000318512321
comgenvid,annotated,Sora,adafafffaf5455_136583813%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,adarsh1431a_967753927%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,adcollective_150185417%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,adil104_297888031%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,aditya992_151486281%2Fmd.mp4,0.004999999888241291,0.0,0.05000000074505806,0.004999999888241291,0.0,0.0044999998994171625
comgenvid,annotated,Sora,adityanayak23_431329179%2Fmd.mp4,0.004999999888241291,0.0,0.014999999664723873,0.004999999888241291,0.004999999888241291,0.004999999888241292
comgenvid,annotated,Sora,adlgcxpm_635548396%2Fmd.mp4,0.0,0.0,0.004999999888241291,0.0,0.0,0.0
comgenvid,annotated,Sora,adosphere01_656411819%2Fmd.mp4,0.0,0.0,0.0,0.0,0.004999999888241291,0.0004999999888241291
comgenvid,annotated,Sora,adryan91_80558088%2Fmd.mp4,0.06499999761581421,0.0,0.1899999976158142,0.07500000298023224,0.029999999329447746,0.06149999778717756
comgenvid,annotated,Sora,advivedi9_742747348%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,aedtetg_210017708%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,aerobott_375068661%2Fmd.mp4,0.0,0.0,0.0,0.0,0.004999999888241291,0.0004999999888241291
comgenvid,annotated,Sora,afsinsahin_379807705%2Fmd.mp4,0.0,0.0,0.03500000014901161,0.0,0.004999999888241291,0.0004999999888241291
comgenvid,annotated,Sora,afterburner739_499935257%2Fmd.mp4,0.004999999888241291,0.0,0.0,0.004999999888241291,0.009999999776482582,0.0054999998770654205
comgenvid,annotated,Sora,agpdd_759040193%2Fmd.mp4,0.0,0.0,0.0,0.0,0.004999999888241291,0.0004999999888241291
comgenvid,annotated,Sora,ahnsungmin_677028767%2Fmd.mp4,0.004999999888241291,0.0,0.07999999821186066,0.004999999888241291,0.03999999910593033,0.008499999810010195
comgenvid,annotated,Sora,aidenchoi0929_115923825%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,aienjoyer42_97516890%2Fmd.mp4,0.0,0.0,0.0,0.0,0.004999999888241291,0.0004999999888241291
comgenvid,annotated,Sora,aifirst_758361788%2Fmd.mp4,0.0,0.0,0.0,0.0,0.004999999888241291,0.0004999999888241291
comgenvid,annotated,Sora,ailiver9787_847228081%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,aira1918_591101039%2Fmd.mp4,0.0,0.0,0.04500000178813934,0.004999999888241291,0.0,0.0
comgenvid,annotated,Sora,aix_innovation_lab_655744264%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,ajaykr09_547123938%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,ajilus_483238082%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,ak1990_679900919%2Fmd.mp4,0.0,0.0,0.0,0.0,0.004999999888241291,0.0004999999888241291
comgenvid,annotated,Sora,akash_28072002_824906559%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,akashb_468014520%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,akbarkareorg_452587540%2Fmd.mp4,0.0,0.0,0.0,0.0,0.004999999888241291,0.0004999999888241291
comgenvid,annotated,Sora,akihiro_n_525531899%2Fmd.mp4,0.0,0.0,0.0,0.0,0.009999999776482582,0.0009999999776482583
comgenvid,annotated,Sora,akira12343_871344059%2Fmd.mp4,0.0,0.0,0.009999999776482582,0.0,0.004999999888241291,0.0004999999888241291
comgenvid,annotated,Sora,akirakaweade_593876105%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,akkarma_181967214%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,akshit-sarin_764972304%2Fmd.mp4,0.0,0.0,0.0,0.0,0.004999999888241291,0.0004999999888241291
comgenvid,annotated,Sora,alan4649_199924089%2Fmd.mp4,0.02500000037252903,0.0,0.1899999976158142,0.029999999329447746,0.0,0.02250000033527613
comgenvid,annotated,Sora,alanjack_489722798%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,alankam_988968402%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,alanpaulpanassiti_287632183%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,albrchetti_153064388%2Fmd.mp4,0.0,0.0,0.0,0.0,0.004999999888241291,0.0004999999888241291
comgenvid,annotated,Sora,aleks007_362820217%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,aleks8622_375234076%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,alexa90_19844171%2Fmd.mp4,0.02500000037252903,0.0,0.004999999888241291,0.029999999329447746,0.009999999776482582,0.023500000312924388
comgenvid,annotated,Sora,alexabrazura_414697163%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,alexkolarov94_780280004%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,alexkuehndirector_506818934%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,alfredo70_760449309%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,alienornc_693341583%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,alivecoaching_362499862%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,alkemm_332661861%2Fmd.mp4,0.0,0.0,0.0,0.0,0.004999999888241291,0.0004999999888241291
comgenvid,annotated,Sora,allanteste_224958894%2Fmd.mp4,0.0,0.0,0.0,0.0,0.004999999888241291,0.0004999999888241291
comgenvid,annotated,Sora,allesclaerchen_99582902%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,alma0307_733145307%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,alper1992_262589180%2Fmd.mp4,0.014999999664723873,0.0,0.1599999964237213,0.004999999888241291,0.0,0.013499999698251487
comgenvid,annotated,Sora,alpha_bit_911455093%2Fmd.mp4,0.004999999888241291,0.0,0.0,0.004999999888241291,0.014999999664723873,0.00599999986588955
comgenvid,annotated,Sora,alsiess__444041278%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,alwyns_502037549%2Fmd.mp4,0.0,0.0,0.004999999888241291,0.0,0.0,0.0
comgenvid,annotated,Sora,alxndraag_499864146%2Fmd.mp4,0.0,0.0,0.0,0.0,0.014999999664723873,0.0014999999664723875
comgenvid,annotated,Sora,amack04_632760166%2Fmd.mp4,0.0,0.0,0.0,0.0,0.03999999910593033,0.003999999910593033
comgenvid,annotated,Sora,amanadlakha_825403788%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,ambika8802_watermarked.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,ambwood_124104980%2Fmd.mp4,0.004999999888241291,0.0,0.04500000178813934,0.004999999888241291,0.004999999888241291,0.004999999888241292
comgenvid,annotated,Sora,amfereday_424344053%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,amirflg1960_800479732%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,amit898569856_246028372%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,ammyzz_708865578%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,amohns_watermarked.mp4,0.004999999888241291,0.0,0.11500000208616257,0.004999999888241291,0.004999999888241291,0.004999999888241292
comgenvid,annotated,Sora,amorebody_118598225%2Fmd.mp4,0.004999999888241291,0.0,0.04500000178813934,0.004999999888241291,0.009999999776482582,0.0054999998770654205
comgenvid,annotated,Sora,amorphouslibra_897590446%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,amysung00_717763020%2Fmd.mp4,0.0,0.0,0.0,0.0,0.004999999888241291,0.0004999999888241291
comgenvid,annotated,Sora,anabohuele_920521129%2Fmd.mp4,0.004999999888241291,0.0,0.04500000178813934,0.004999999888241291,0.014999999664723873,0.00599999986588955
comgenvid,annotated,Sora,anamepopovic_492970037%2Fmd.mp4,0.004999999888241291,0.0,0.03500000014901161,0.004999999888241291,0.004999999888241291,0.004999999888241292
comgenvid,annotated,Sora,anbjorkstrom_933734398%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,ancade_283672368%2Fmd.mp4,0.0,0.0,0.0,0.0,0.014999999664723873,0.0014999999664723875
comgenvid,annotated,Sora,andes2tokyo_895325730%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,andrewkorolow_973684774%2Fmd.mp4,0.0,0.0,0.0,0.0,0.014999999664723873,0.0014999999664723875
comgenvid,annotated,Sora,andy2510_13896800%2Fmd.mp4,0.004999999888241291,0.0,0.03999999910593033,0.004999999888241291,0.009999999776482582,0.0054999998770654205
comgenvid,annotated,Sora,angiemarierm_141689241%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,animss01_189765887%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,aninvinciblemind_688429844%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,ankita68_239170629%2Fmd.mp4,0.05999999865889549,0.0,0.11999999731779099,0.05000000074505806,0.009999999776482582,0.0549999987706542
comgenvid,annotated,Sora,ankitagrawaljsr_791222574%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,annetst_921821427%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,antoinemg_733077046%2Fmd.mp4,0.07999999821186066,0.0,0.17000000178813934,0.05999999865889549,0.0,0.0719999983906746
comgenvid,annotated,Sora,anuj_kothari_264220718%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,anujdxb_242175959%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,anujtiwary69_19415224%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,anwar1001_368378969%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,aomammm_483165930%2Fmd.mp4,0.004999999888241291,0.0,0.009999999776482582,0.004999999888241291,0.0,0.0044999998994171625
comgenvid,annotated,Sora,aphillips8430_842158779%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,apndump_204122224%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,aqmed_555825407%2Fmd.mp4,0.004999999888241291,0.0,0.10999999940395355,0.004999999888241291,0.029999999329447746,0.0074999998323619374
comgenvid,annotated,Sora,aqulley_655469041%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,aralvi84_662898395%2Fmd.mp4,0.0,0.0,0.06499999761581421,0.0,0.0,0.0
comgenvid,annotated,Sora,arbechemindo_530571076%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,arcidalia_981981851%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,arfo75_154788139%2Fmd.mp4,0.0,0.0,0.004999999888241291,0.0,0.0,0.0
comgenvid,annotated,Sora,ariasto_852379771%2Fmd.mp4,0.0,0.0,0.004999999888241291,0.0,0.014999999664723873,0.0014999999664723875
comgenvid,annotated,Sora,arnav619_734526242%2Fmd.mp4,0.0,0.0,0.03999999910593033,0.0,0.009999999776482582,0.0009999999776482583
comgenvid,annotated,Sora,art_tra_979742107%2Fmd.mp4,0.0,0.0,0.0,0.0,0.004999999888241291,0.0004999999888241291
comgenvid,annotated,Sora,artemasso_706144935%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,arthures369_194530034%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,artimuebles_483781783%2Fmd.mp4,0.0,0.0,0.0,0.0,0.029999999329447746,0.002999999932944775
comgenvid,annotated,Sora,artzet_940092949%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,arukamo_935771223%2Fmd.mp4,0.0,0.0,0.0,0.0,0.004999999888241291,0.0004999999888241291
comgenvid,annotated,Sora,asd123zxc2314_385850007%2Fmd.mp4,0.0,0.0,0.0,0.0,0.014999999664723873,0.0014999999664723875
comgenvid,annotated,Sora,ashes1881_697273547%2Fmd.mp4,0.1899999976158142,0.0,0.11500000208616257,0.20499999821186066,0.0,0.17099999785423278
comgenvid,annotated,Sora,asimjofa321_148452168%2Fmd.mp4,0.0,0.0,0.03500000014901161,0.0,0.009999999776482582,0.0009999999776482583
comgenvid,annotated,Sora,aspirezonerealestate_707980198%2Fmd.mp4,0.0,0.0,0.0,0.0,0.014999999664723873,0.0014999999664723875
comgenvid,annotated,Sora,astacake_48457029%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,asuragate_952991473%2Fmd.mp4,0.0,0.0,0.03500000014901161,0.0,0.009999999776482582,0.0009999999776482583
comgenvid,annotated,Sora,at____999_458200743%2Fmd.mp4,0.0,0.0,0.0,0.0,0.004999999888241291,0.0004999999888241291
comgenvid,annotated,Sora,atakivancevsen_96347779%2Fmd.mp4,0.0,0.0,0.04500000178813934,0.0,0.029999999329447746,0.002999999932944775
comgenvid,annotated,Sora,atheef_583386805%2Fmd.mp4,0.0,0.0,0.0,0.0,0.004999999888241291,0.0004999999888241291
comgenvid,annotated,Sora,auiyukicute4gmailcom_532002007%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,aurora-sora_487554182%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,aurota_lala_424237240%2Fmd.mp4,0.004999999888241291,0.0,0.0,0.004999999888241291,0.03500000014901161,0.007999999914318323
comgenvid,annotated,Sora,aurus-_270918830%2Fmd.mp4,0.0,0.0,0.0,0.0,0.004999999888241291,0.0004999999888241291
comgenvid,annotated,Sora,austerestore_475177574%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,austin355_586562389%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,autreone_709991703%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,autumnolive_772003448%2Fmd.mp4,0.0,0.0,0.03500000014901161,0.0,0.0,0.0
comgenvid,annotated,Sora,avamarketing_582895542%2Fmd.mp4,0.0,0.0,0.0,0.0,0.004999999888241291,0.0004999999888241291
comgenvid,annotated,Sora,awxdi_776270500%2Fmd.mp4,0.0,0.0,0.03999999910593033,0.004999999888241291,0.009999999776482582,0.0009999999776482583
comgenvid,annotated,Sora,axo09_278259719%2Fmd.mp4,0.004999999888241291,0.0,0.0,0.004999999888241291,0.03500000014901161,0.007999999914318323
comgenvid,annotated,Sora,ayami_jp_318488182%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,ayan12_610035271%2Fmd.mp4,0.0,0.0,0.0,0.0,0.004999999888241291,0.0004999999888241291
comgenvid,annotated,Sora,aymbot_529062337%2Fmd.mp4,0.05000000074505806,0.0,0.3199999928474426,0.04500000178813934,0.004999999888241291,0.045500000659376386
comgenvid,annotated,Sora,azenmoktan_87349735%2Fmd.mp4,0.004999999888241291,0.0,0.004999999888241291,0.004999999888241291,0.004999999888241291,0.004999999888241292
comgenvid,annotated,Sora,b_i_a_777331738%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,bababububu_232918578%2Fmd.mp4,0.0,0.0,0.004999999888241291,0.0,0.004999999888241291,0.0004999999888241291
comgenvid,annotated,Sora,babu12999_504611764%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,babychamp_128451259%2Fmd.mp4,0.0,0.0,0.03999999910593033,0.0,0.05999999865889549,0.00599999986588955
comgenvid,annotated,Sora,babycharmcz_993616866%2Fmd.mp4,0.0,0.0,0.0,0.0,0.03999999910593033,0.003999999910593033
comgenvid,annotated,Sora,babygaang_398671334%2Fmd.mp4,0.004999999888241291,0.0,0.10000000149011612,0.004999999888241291,0.0,0.0044999998994171625
comgenvid,annotated,Sora,badhiin_watermarked.mp4,0.02500000037252903,0.0,0.1550000011920929,0.014999999664723873,0.0,0.02250000033527613
comgenvid,annotated,Sora,bae1981_475803894%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,bajpaianshuman_835560964%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,bami0776_956498167%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,bananenfaust_522597945%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,banchoet_78940656%2Fmd.mp4,0.0,0.0,0.0,0.0,0.054999999701976776,0.005499999970197678
comgenvid,annotated,Sora,barbagallo_478897870%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,barizzaofis_795702849%2Fmd.mp4,0.0,0.0,0.0,0.0,0.004999999888241291,0.0004999999888241291
comgenvid,annotated,Sora,barsfunnyaf_908182574%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,batmang_492024172%2Fmd.mp4,0.0,0.0,0.0,0.0,0.004999999888241291,0.0004999999888241291
comgenvid,annotated,Sora,bcabe_771103962%2Fmd.mp4,0.004999999888241291,0.0,0.0,0.004999999888241291,0.019999999552965164,0.006499999854713679
comgenvid,annotated,Sora,beckytravis_410235854%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,beegee1152_421751003%2Fmd.mp4,0.0,0.0,0.0,0.0,0.004999999888241291,0.0004999999888241291
comgenvid,annotated,Sora,believeinjc_586471273%2Fmd.mp4,0.0,0.0,0.0,0.0,0.0,0.0
comgenvid,annotated,Sora,bella_libya_watermarked.mp4,0.004999999888241291,0.0,0.0,0.004999999888241291,0.03999999910593033,0.008499999810010195
comgenvid,annotated,Sora,bem2025s_521143860%2Fmd.mp4,0.0,0.0,0.0,0.0,0.004999999888241291,0.0004999999888241291
