representation,position,n_rows,mean_ll,std_ll,mean_norm2_per_dim,mean_abs_coord_mean
patch_token,65,258,-537.6563452565706,169.09281697805744,1.0511365498662184,0.07757428288459778
patch_token,66,239,-533.4565673310867,160.85557978379575,1.04292584033448,0.07890374213457108
patch_token,67,234,-497.22870486832943,149.29832517556991,0.9720991297523547,0.07746867835521698
patch_token,68,257,-476.87115665723246,141.52274390493386,0.9322994265048533,0.07834794372320175
patch_token,69,242,-465.70186443471493,134.96893533805184,0.9104630780737341,0.09263341128826141
patch_token,70,252,-464.00174800028077,166.43630201095178,0.9071392922781638,0.091471828520298
patch_token,71,285,-488.59857555643754,160.29251424685728,0.95522693168414,0.08187371492385864
patch_token,72,229,-507.9420599008354,169.21345624608972,0.9930441053779774,0.08550121635198593
patch_token,73,241,-520.2197066794859,152.3212974969051,1.0170473248865803,0.08035056293010712
patch_token,74,268,-564.0875590163927,173.3003057129818,1.102810477060396,0.08071865886449814
patch_token,75,267,-586.2313723514029,181.1917318304829,1.146102389738813,0.0826735645532608
patch_token,76,256,-615.5397485113183,205.68915485452754,1.203401267861815,0.0835479274392128
patch_token,77,250,-598.7962404539278,186.33001341302895,1.1706671367623223,0.08265084773302078
patch_token,78,295,-584.392810268264,177.69981223574956,1.1425079379633707,0.07739928364753723
patch_token,79,241,-548.691584375277,176.1105721058263,1.0727108198930144,0.07918250560760498
patch_token,80,228,-542.128668744532,169.6874191162394,1.0598800952972276,0.08502980321645737
patch_token,81,250,-495.19649736060217,153.9092983178149,0.9681260945466319,0.07694146782159805
patch_token,82,252,-462.65309537748914,136.61107582618817,0.9045026302590207,0.0772470012307167
patch_token,83,266,-479.6340054873312,143.78468567792984,0.9377008904933163,0.0907757356762886
patch_token,84,247,-491.80294103814236,156.88840287870144,0.9614915758321453,0.08964370936155319
patch_token,85,271,-484.6488444288372,163.5266826795574,0.9475050721971402,0.08210399001836777
patch_token,86,254,-521.5627076578903,182.19487932024632,1.019672937747586,0.08305434882640839
patch_token,87,246,-539.2332866573545,146.2418094084224,1.0542195242568027,0.07788514345884323
patch_token,88,256,-575.9919036882054,176.35898730267976,1.1260838781783098,0.08009542524814606
patch_token,89,263,-619.9869045252666,204.43564887880333,1.2120956100200713,0.08053930848836899
patch_token,90,261,-585.1253417753892,171.62369592219497,1.1439400621219729,0.0782461166381836
patch_token,91,275,-631.130933365618,220.2454032779973,1.2338825676747174,0.08405059576034546
patch_token,92,242,-594.3808707849062,201.01811024444478,1.1620349379959065,0.08028166741132736
patch_token,93,274,-568.7753182817137,181.4147893381899,1.1119752068068693,0.0760098397731781
patch_token,94,262,-534.0702914665783,183.89914983384824,1.0441256920167707,0.08061634749174118
patch_token,95,280,-500.3011792373361,151.93665004332343,0.9781059222626319,0.07632803171873093
patch_token,96,257,-475.3881244991801,156.0790931017562,0.9294000478967352,0.07945072650909424
patch_token,97,223,-477.9361236670494,143.4522625300568,0.9343814734448669,0.09354846179485321
patch_token,98,262,-466.9064070461524,146.08364679708262,0.9128180000902296,0.09025873243808746
patch_token,99,283,-498.14574872615174,164.10976387549545,0.9738919818693091,0.08041596412658691
patch_token,100,259,-508.0989753001112,148.5946824297047,0.9933508803521234,0.07564497739076614
patch_token,101,238,-562.1504575803635,157.57743429151915,1.0990233774787166,0.08183062821626663
patch_token,102,264,-583.0579262332948,167.14709065558003,1.1398981940044863,0.08065103739500046
patch_token,103,271,-610.0210616374901,193.81608502741713,1.1926120462121017,0.08052869141101837
patch_token,104,262,-615.2875986378153,199.31077071864772,1.2029083062322883,0.0818159356713295
patch_token,105,245,-622.0548108003611,205.7837201217024,1.2161384375373627,0.08621244877576828
patch_token,106,265,-597.0024723328119,191.89845083610692,1.1671602587151746,0.07794929295778275
patch_token,107,269,-575.3322862781123,180.7137755330308,1.1247943035740224,0.0795133039355278
patch_token,108,242,-531.5185496533583,179.26495194775316,1.039136949468931,0.08109170198440552
patch_token,109,273,-497.8196981510097,162.9226502939362,0.9732545418397059,0.07515006512403488
patch_token,110,262,-496.13711725907825,161.84442382769163,0.969965038629674,0.07972007244825363
patch_token,111,241,-484.1353303450808,166.53886639298665,0.9465011345944883,0.08816702663898468
patch_token,112,242,-485.2007340554687,141.6208211264232,0.9485840352990589,0.08943141251802444
patch_token,113,277,-485.1645980648883,151.13728782016975,0.9485133882011503,0.08143487572669983
patch_token,114,248,-512.6330500414181,177.42963815872707,1.0022151515961253,0.08039902150630951
patch_token,115,245,-541.2590127743182,153.19705678269617,1.058179888121834,0.08000525832176208
patch_token,116,260,-581.2129115845581,172.6881482454609,1.1362911272425378,0.0782400518655777
patch_token,117,283,-602.3294689548713,167.95273033866445,1.1775747193643624,0.0801844596862793
patch_token,118,250,-616.6116345050611,196.68548585728635,1.2054968416521232,0.08317733556032181
patch_token,119,243,-603.0326644620294,197.46553174138447,1.1789494906393538,0.0819128006696701
patch_token,120,281,-581.1978702177266,187.25962542560652,1.1362617208557706,0.07672392576932907
patch_token,121,293,-551.6661377857114,183.59475758756855,1.0785261735791034,0.07583397626876831
patch_token,122,251,-528.5058453929305,160.65847900743296,1.0332470095658461,0.07615992426872253
patch_token,123,249,-503.20300331489693,178.2657487904587,0.9837790876146568,0.0757901668548584
patch_token,124,252,-458.60476051495937,139.33481704561356,0.8965879970966949,0.08101575076580048
patch_token,125,242,-477.4939818161922,145.97710237894876,0.9335170709993984,0.09030673652887344
patch_token,126,261,-467.01538817756324,146.67606336768492,0.9130310619307199,0.08703213185071945
patch_token,127,246,-464.5402269563575,143.35550741477746,0.9081920370603275,0.0860140398144722
patch_token,128,262,-502.797277159949,164.14998720075016,0.9829858791005845,0.07992392778396606
patch_token,129,266,-535.1905579992774,174.7415679880842,1.046315851415987,0.08134686946868896
patch_token,130,273,-546.7174335339286,157.25279718221148,1.068851287456361,0.07706648856401443
patch_token,131,249,-561.5211315876269,148.32396404553143,1.0977930236317244,0.0789782851934433
patch_token,132,259,-589.0216346881414,183.37848780906347,1.1515574480706579,0.08081483095884323
patch_token,133,259,-592.4157081521462,216.72587736255792,1.1581929778145574,0.08313113451004028
patch_token,134,278,-576.9403193897822,187.46020521951746,1.1279380633231328,0.07836820185184479
patch_token,135,241,-538.5053710607104,147.1975112734202,1.0527964243611152,0.08229385316371918
patch_token,136,269,-529.9482213029434,175.08353567805244,1.0360669038180714,0.0753534734249115
patch_token,137,249,-484.1101065699314,145.3023146437577,0.9464518212510878,0.07413139194250107
patch_token,138,251,-477.2849042741779,150.5974582255605,0.9331083172515697,0.08314143866300583
patch_token,139,242,-474.22809093198987,147.3796908384954,0.9271321425845355,0.08894593268632889
patch_token,140,245,-446.7269905780623,129.21188898990033,0.8733665504947455,0.08843342959880829
patch_token,141,243,-473.92931902980183,154.40784372293803,0.9265480332938452,0.08640912175178528
patch_token,142,263,-481.01015531804205,147.87629778065562,0.9403913104947057,0.07916872948408127
patch_token,143,245,-508.1144867415457,154.92460796961586,0.9933812057508222,0.08172205835580826
patch_token,144,233,-540.4274621239249,161.04986988232403,1.0565541781503909,0.08065984398126602
patch_token,145,269,-539.1655843577491,144.97046124340926,1.0540871639447684,0.0763467475771904
patch_token,146,252,-552.7581302719949,161.37956041969414,1.0806610562502343,0.07914631813764572
patch_token,147,275,-556.4811161240307,171.40676985897144,1.087939620965847,0.0813756138086319
patch_token,148,249,-550.4943066402279,165.12309214763297,1.0762352035977085,0.07697140425443649
patch_token,149,248,-529.6333689427079,177.2947686735241,1.0354513566817358,0.07521946728229523
patch_token,150,246,-492.6516845334745,173.11034122371723,0.9631508984036645,0.08209076523780823
patch_token,151,262,-485.72497193812734,171.93602626813015,0.9496089382954592,0.07473248988389969
patch_token,152,277,-496.0603948549579,162.5358605676142,0.9698150437047078,0.07825339585542679
patch_token,153,242,-480.87677288438556,154.64166229119547,0.940130543273481,0.09094509482383728
patch_token,154,242,-456.7024437700057,130.04218107034606,0.8928689027761596,0.090663380920887
patch_token,155,236,-439.3969522444721,130.20291333933702,0.8590360747692516,0.08367791771888733
patch_token,156,251,-474.8382374612195,159.89061064323676,0.9283249999241826,0.08071508258581161
patch_token,157,245,-468.1495472793803,146.58794681037782,0.9152483817778695,0.08503895998001099
patch_token,158,278,-508.02017308870114,148.8639077069678,0.9931968193327488,0.07684043049812317
patch_token,159,265,-518.203183128913,162.94239706729715,1.0131049523536912,0.08016576617956161
patch_token,160,267,-527.2529890121787,169.94136841593016,1.0307976324773778,0.0786583200097084
patch_token,161,274,-531.0309867705599,178.8887710490914,1.0381837473520235,0.08003070950508118
patch_token,162,217,-519.2182394333089,153.96002268513598,1.0150894221570068,0.08334414660930634
patch_token,163,251,-476.8359375923224,144.19896325762247,0.9322305720280005,0.07751051336526871
patch_token,164,265,-484.0058368952258,142.4339188471828,0.9462479704696496,0.07696826756000519
patch_token,165,242,-479.2041915599743,141.49156312069306,0.936860589560067,0.07504666596651077
patch_token,166,238,-481.389752148505,175.61879848691862,0.9411334352854447,0.0840228721499443
patch_token,167,263,-464.2255393193646,131.24917140004044,0.9075768119635673,0.09163659811019897
patch_token,168,289,-460.1032209961585,136.01174254128463,0.8995175386044152,0.08775753527879715
patch_token,169,265,-449.81717763662164,141.59686126711318,0.8794079719191038,0.08341511338949203
patch_token,170,242,-454.9115059447172,143.7427748081451,0.8893675580541881,0.08062585443258286
patch_token,171,264,-464.3531126299465,144.21334036233566,0.9078262221504331,0.07726215571165085
patch_token,172,244,-492.170327435179,144.33068325815802,0.962209828807779,0.08156245201826096
patch_token,173,275,-492.12058588711017,160.57550397220317,0.962112582379492,0.08273635804653168
patch_token,174,257,-491.7618759397248,171.12730434953806,0.9614112921597748,0.08760062605142593
patch_token,175,270,-496.59746212232244,163.84823782157468,0.9708650285871406,0.08390706777572632
patch_token,176,277,-496.01819026684177,148.71561416510872,0.9697325322909907,0.07666713744401932
patch_token,177,253,-474.6107716585494,128.97254403333918,0.9278802964976529,0.07765500992536545
patch_token,178,249,-489.225312867854,158.99692699359164,0.9564522245705845,0.0825333297252655
patch_token,179,239,-457.6854869635352,150.80570111338488,0.8947907858524636,0.09108707308769226
patch_token,180,228,-467.7895238030002,118.2250312692335,0.9145445235640276,0.08794895559549332
patch_token,181,250,-474.2896204771959,131.4037598009576,0.9272524349505297,0.09444118291139603
patch_token,182,259,-461.0813776699169,122.72580933938828,0.9014298683673839,0.12310895323753357
patch_token,183,264,-442.84173189985415,125.98131045298368,0.8657707368521098,0.09724453091621399
patch_token,184,268,-453.68497342584897,130.7758911383583,0.8869696450163225,0.0902503952383995
patch_token,185,241,-490.9618103097081,162.51164024129218,0.9598471364803678,0.09172617644071579
patch_token,186,261,-467.4854030594407,136.91167210232297,0.913949957105456,0.09086669981479645
patch_token,187,266,-483.3647165642412,140.40753803067253,0.9449945582878616,0.09194492548704147
patch_token,188,266,-489.31223286121985,146.20025835472157,0.956622156131417,0.09788723289966583
patch_token,189,243,-478.2785245081903,158.0316942818396,0.935050878803891,0.0972752571105957
patch_token,190,286,-500.2158669638038,142.54187447202628,0.9779391338490788,0.0937388464808464
patch_token,191,251,-465.5839731677006,149.3056150267248,0.9102325966132954,0.09152146428823471
patch_token,192,232,-455.764838567501,144.2788281450615,0.8910358525268836,0.09254200756549835
patch_token,193,233,-462.95228559989897,139.19023984736145,0.9050875573800565,0.09233033657073975
patch_token,194,261,-473.5951608283513,151.0794231870751,0.9258947425774217,0.09596336632966995
patch_token,195,257,-487.1615535132499,135.70820524169952,0.9524175044247309,0.1187504231929779
region3_pooled_token,0,1557,-509.87935307990176,176.62753375051452,0.9958581114841831,0.066094309091568
region3_pooled_token,1,1555,-496.78824113737505,168.74070738727485,0.9702895334714357,0.056125253438949585
region3_pooled_token,2,1546,-525.9704413261742,187.4359766622607,1.027286018215184,0.059254810214042664
region3_pooled_token,3,1529,-521.3895923584149,178.54917609452627,1.0183390475750291,0.05531776696443558
region3_pooled_token,4,1535,-487.66416337134996,171.05109991830034,0.9524690690846679,0.05440857261419296
region3_pooled_token,5,1601,-520.7557360614187,176.62931581290243,1.0171010469949584,0.055105336010456085
region3_pooled_token,6,1524,-567.1374366462238,209.7314126929869,1.107690305949656,0.05682920664548874
region3_pooled_token,7,1513,-516.6313376327964,181.86057874553703,1.0090455813140555,0.05153929069638252
region3_pooled_token,8,1581,-505.1479265155661,194.41461329547687,0.986617043975715,0.056163474917411804
region3_pooled_token,9,1553,-565.4098152565806,188.1996653792303,1.104316045423009,0.05554455518722534
region3_pooled_token,10,1613,-628.3058092090695,252.25868681531978,1.2271597836114638,0.05663354694843292
region3_pooled_token,11,1622,-541.1669244269375,199.61236328385058,1.0569666492713623,0.05561063066124916
region3_pooled_token,12,1555,-526.4821396556652,196.5312736355477,1.028285429014971,0.05938306823372841
region3_pooled_token,13,1599,-539.889096152268,191.3545442383972,1.0544708909223985,0.05499950051307678
region3_pooled_token,14,1562,-589.7304563478348,231.87762349631203,1.1518172975543648,0.05803282931447029
region3_pooled_token,15,1515,-534.46367383101,198.31146186689844,1.0438743629511915,0.05206684768199921
region3_second_order_diff,0,3117,-492.0171813760973,62.07789736039983,0.9609710573751901,0.006743910722434521
region3_second_order_diff,1,3106,-494.99338251264965,68.3046747567879,0.9667839502200188,0.006706527899950743
region3_second_order_diff,2,3090,-496.32862686598463,66.00466417487294,0.9693918493476262,0.006665865890681744
region3_second_order_diff,3,3125,-495.3535727773818,63.69090033558276,0.9674874468308239,0.006460109725594521
region3_second_order_diff,4,3128,-493.6688294101043,63.08342763483372,0.96419693244161,0.006486197467893362
region3_second_order_diff,5,3123,-500.268055993797,65.91556061644758,0.9770860468628848,0.0064173596911132336
region3_second_order_diff,6,3143,-502.84203878319573,66.81711251516379,0.9821133569984292,0.006228460464626551
region3_second_order_diff,7,3130,-501.32156628052354,63.41672386121305,0.9791436841416475,0.006351877935230732
region3_second_order_diff,8,3136,-495.36348311072,62.05681274349253,0.967506802950625,0.006398855708539486
region3_second_order_diff,9,3119,-505.0160849007374,61.532337143946044,0.9863595408217527,0.006596168037503958
region3_second_order_diff,10,3103,-504.33835006293776,64.61140440708911,0.9850358399666753,0.006525147706270218
region3_second_order_diff,11,3132,-503.0990352788517,63.17002802092049,0.9826153032790073,0.006252654828131199
region3_second_order_diff,12,3099,-495.55563417310424,56.11213250111497,0.9678820979943442,0.0066073862835764885
region3_second_order_diff,13,3105,-503.4201002938277,59.23495777519419,0.9832423833863823,0.0063616144470870495
region3_second_order_diff,14,3143,-503.53835049376613,61.25241407834818,0.983473340808137,0.006558053195476532
region3_second_order_diff,15,3121,-501.580895455886,61.04793987175604,0.9796501864372773,0.006407652050256729
